# AUV Synthetic Depth — timestamp,depth_m,valid
timestamp,depth_m,valid
0.00000,0.08937,1
0.50000,0.00000,1
1.00000,0.00000,1
1.50000,0.00000,1
2.00000,0.00039,1
2.51000,0.01814,1
3.01000,0.02120,1
3.51000,0.02484,1
4.01000,0.00950,1
4.51000,0.00000,1
5.01000,0.00000,1
5.51000,0.00000,1
6.01000,0.00000,1
6.51000,0.00000,1
7.01000,0.00000,1
7.51000,0.07931,1
8.01000,0.00000,1
8.51000,0.00000,1
9.01000,0.00000,1
9.51000,0.02716,1
10.01000,0.05888,1
10.51000,0.00000,1
11.01000,0.00000,1
11.51000,0.00000,1
12.01000,0.03617,1
12.51000,0.00000,1
13.01000,0.00000,1
13.51000,0.08299,1
14.01000,0.10456,1
14.51000,0.05929,1
15.01000,0.05617,1
15.51000,0.05145,1
16.01000,0.05262,1
16.51000,0.03543,1
17.01000,0.00000,1
17.51000,0.05570,1
18.00000,0.00437,1
18.50000,0.11077,1
19.00000,0.01020,1
19.50000,0.09487,1
20.00000,0.04847,1
20.50000,0.04667,1
21.00000,0.10382,1
21.50000,0.00000,1
22.00000,0.00000,1
22.50000,0.29622,1
23.00000,0.07042,1
23.50000,0.08797,1
24.00000,0.00000,1
24.50000,0.11029,1
25.00000,0.20889,1
25.50000,0.20772,1
26.00000,0.14626,1
26.50000,0.17640,1
27.00000,0.17774,1
27.50000,0.23702,1
28.00000,0.33550,1
28.50000,0.27663,1
29.00000,0.20852,1
29.50000,0.25667,1
30.00000,0.00000,1
30.50000,0.17029,1
31.00000,0.23779,1
31.50000,0.38561,1
32.00000,0.34284,1
32.50000,0.18955,1
33.00000,0.09642,1
33.50000,0.41655,1
34.00000,0.50236,1
34.50000,0.39375,1
35.00000,0.14042,1
35.50000,0.46765,1
36.00000,0.56929,1
36.50000,0.12004,1
37.00000,0.44112,1
37.50000,0.58173,1
38.00000,0.02630,1
38.50000,0.51837,1
39.00000,0.44143,1
39.50000,0.28097,1
40.00000,0.61238,1
40.50000,0.27265,1
41.00000,0.06469,1
41.50000,0.07095,1
42.00000,0.00000,1
42.50000,0.02635,1
43.00000,0.09275,1
43.51000,0.00000,1
44.01000,0.00000,1
44.51000,0.05424,1
45.01000,0.00000,1
45.51000,0.00000,1
46.01000,0.00000,1
46.51000,0.02092,1
47.01000,0.00000,1
47.51000,0.00000,1
48.01000,0.00253,1
48.51000,0.00000,1
49.01000,0.00850,1
49.51000,0.06678,1
50.01000,0.09808,1
50.51000,0.00639,1
51.01000,0.08781,1
51.51000,0.00000,1
52.01000,0.10324,1
52.51000,0.06407,1
53.01000,0.05194,1
53.51000,0.00000,1
54.01000,0.03819,1
54.51000,0.01202,1
55.01000,0.00000,1
55.51000,0.00000,1
56.01000,0.07412,1
56.51000,0.00000,1
57.01000,0.00000,1
57.51000,0.02542,1
58.01000,0.01833,1
58.51000,0.01178,1
59.01000,0.02528,1
59.51000,0.01610,1
60.01000,0.00000,1
60.51000,0.00092,1
61.01000,0.00000,1
61.51000,0.00000,1
62.01000,0.00000,1
62.51000,0.00311,1
63.01000,0.00000,1
63.51000,0.02271,1
64.01000,0.03177,1
64.51000,0.07341,1
65.01000,0.00416,1
65.51000,0.02312,1
66.01000,0.00000,1
66.51000,0.00000,1
67.01000,0.06650,1
67.51000,0.03480,1
68.01000,0.02518,1
68.51000,0.08060,1
69.01000,0.00000,1
69.51000,0.00000,1
70.01000,0.02125,1
70.51000,0.00000,1
71.01000,0.02917,1
71.51000,0.00000,1
72.01000,0.00000,1
72.50000,0.00000,1
73.00000,0.01547,1
73.50000,0.00000,1
74.00000,0.01393,1
74.50000,0.04226,1
75.00000,0.00000,1
75.50000,0.01120,1
76.00000,0.05356,1
76.50000,0.00000,1
77.00000,0.02314,1
77.50000,0.00649,1
78.00000,0.00000,1
78.50000,0.03375,1
79.00000,0.01983,1
79.50000,0.00000,1
