# AUV Synthetic DVL  — timestamp,vx,vy,vz,valid
timestamp,vx,vy,vz,valid
0.0000000,0.0231733,-0.0068893,-0.0138894,1
0.1100000,0.0164953,-0.0029127,0.0075818,1
0.2000000,0.0882026,-0.0114647,0.0208811,1
0.3000000,0.1103347,-0.0314661,0.0296175,1
0.4000000,0.1221181,-0.0049439,-0.0031647,1
0.5000000,0.1778183,-0.0182107,0.0226496,1
0.6000000,0.2488971,-0.0190349,-0.0443899,1
0.7000000,0.2836001,-0.0169156,-0.0207248,1
0.8000000,0.3301328,0.0285066,-0.0350231,0
0.9000000,0.3709034,0.0166371,-0.0125415,1
1.0000000,0.3940553,-0.0044803,-0.0279176,1
1.1000000,0.4029109,0.0089688,-0.0412470,1
1.2000000,0.5054374,0.0125321,-0.0468970,1
1.3000000,0.5277706,0.0083536,-0.0749458,1
1.4000000,0.5765525,-0.0027303,-0.0869701,1
1.5000000,0.6059476,0.0047209,-0.1160463,1
1.6000000,0.6362441,-0.0124749,-0.0674215,1
1.7000000,0.6961889,0.0213115,-0.0745311,1
1.8000000,0.7041574,-0.0061658,-0.0917549,1
1.9000000,0.7300489,-0.0029624,-0.0962323,1
2.0000000,0.7525832,-0.0215385,-0.1085423,1
2.1100000,0.8288314,-0.0203277,-0.1238579,1
2.2100000,0.8276739,-0.0050170,-0.1160312,1
2.3100000,0.9100086,0.0081953,-0.1177185,1
2.4100000,0.9539536,0.0022251,-0.1115220,1
2.5100000,0.9879803,0.0262688,-0.1569165,1
2.6100000,0.9765893,-0.0109989,-0.1520869,1
2.7100000,1.0311023,0.0123873,-0.3128666,1
2.8100000,1.0583580,-0.0030614,-0.1604932,1
2.9100000,1.0725750,0.0067943,-0.2360758,1
3.0100000,1.1262095,-0.0005920,-0.3399915,1
3.1100000,1.1752442,0.0213951,-0.2230653,1
3.2100000,1.1828258,-0.0190268,-0.3320442,1
3.3100000,1.2321494,0.0093864,-0.4226491,1
3.4100000,1.2893793,0.0063218,-0.2759856,1
3.5100000,1.2552726,-0.0054666,-0.5105503,1
3.6100000,1.3586807,-0.0074602,-0.2845191,1
3.7100000,1.3391492,0.0159812,-0.5084989,1
3.8100000,1.3912130,-0.0330341,-0.3164442,1
3.9100000,1.4121138,-0.0031782,-0.5313305,1
4.0100000,1.5030773,-0.0016365,-0.2653866,1
4.1100000,1.5349412,-0.0091641,-0.2778047,1
4.2100000,1.5657367,0.0166616,-0.3034651,0
4.3100000,1.5853562,-0.0097906,-0.2840227,1
4.4100000,1.6423829,-0.0139667,-0.2833182,1
4.5100000,1.6509747,-0.0064667,-0.3076051,1
4.6100000,1.6235330,0.0112146,-0.7773771,1
4.7100000,1.6840505,0.0109059,-0.5943727,1
4.8100000,1.7363307,0.0124807,-0.4232603,1
4.9100000,1.7529245,-0.0259249,-0.7996445,1
5.0100000,1.7713041,0.0244143,-0.6233905,1
5.1100000,1.8389369,0.0148615,-0.4511615,1
5.2100000,1.8073475,-0.0005883,-0.8121924,1
5.3100000,1.9323765,0.0033429,-0.5577009,1
5.4100000,1.8799054,0.0285535,-0.8500337,1
5.5100000,2.0166690,0.0090899,-0.4667037,1
