# AUV Synthetic Mag  — timestamp,yaw_rad,valid
timestamp,yaw_rad,valid
0.0000000,0.3101394,1
0.2000000,0.2979752,1
0.4000000,0.3038988,1
0.6000000,0.3029662,1
0.8000000,0.2850633,1
1.0000000,0.3005726,1
1.2000000,0.2719098,1
1.4000000,0.2767860,1
1.6000000,0.3053320,1
1.8000000,0.2978096,1
2.0000000,0.2855950,1
2.2100000,0.3120300,1
2.4100000,0.3116881,1
2.6100000,0.3029218,1
2.8100000,0.3149854,1
3.0100000,0.3093537,1
3.2100000,0.3013396,1
3.4100000,0.2908012,1
3.6100000,0.2974564,1
3.8100000,0.3008984,1
4.0100000,0.3132211,1
4.2100000,0.3019514,1
4.4100000,0.2936591,1
4.6100000,0.2874400,1
4.8100000,0.2681113,1
5.0100000,0.3320500,1
5.2100000,0.3265276,1
5.4100000,0.2809553,1
5.6100000,0.2858352,1
5.8100000,0.3263536,1
6.0100000,0.2939579,1
6.2100000,0.2810170,1
6.4100000,0.3058515,1
6.6100000,0.3038570,1
6.8100000,0.2874683,1
7.0100000,0.2938573,1
7.2100000,0.3045027,1
7.4100000,0.3279593,1
7.6100000,0.2971259,1
7.8100000,0.2994809,1
8.0100000,0.2658383,1
8.2100000,0.2746634,1
8.4100000,0.3205039,1
8.6100000,0.3311581,1
8.8100000,0.2440042,1
9.0100000,0.2741909,1
9.2100000,0.3125303,1
9.4100000,0.2845713,1
9.6100000,0.3277216,1
9.8100000,0.2989190,1
10.0100000,0.2969237,1
10.2100000,0.2951800,1
10.4100000,0.2735376,1
10.6100000,0.3127460,1
10.8100000,0.3464839,1
11.0100000,0.2767521,1
11.2100000,0.2984995,1
11.4100000,0.2964948,1
11.6100000,0.3244851,1
11.8100000,0.2923995,1
12.0100000,0.3061995,1
12.2100000,0.3023154,1
12.4100000,0.3030384,1
12.6100000,0.3385159,1
12.8100000,0.2923490,1
13.0100000,0.2879485,1
13.2100000,0.3105386,1
13.4100000,0.3035267,1
13.6100000,0.2933115,1
13.8100000,0.2925834,1
14.0100000,0.3196195,1
14.2100000,0.2929274,1
14.4100000,0.3064554,1
14.6100000,0.2925909,1
14.8100000,0.3078465,1
15.0100000,0.2724877,1
15.2100000,0.3333481,1
15.4100000,0.2924715,1
15.6100000,0.3133229,1
15.8100000,0.3097565,1
16.0100000,0.2761509,1
16.2100000,0.3098606,1
16.4100000,0.3395075,1
16.6100000,0.3002185,1
16.8100000,0.2933153,1
17.0100000,0.2841019,1
17.2100000,0.2768162,1
17.4100000,0.2940067,1
17.6100000,0.3149354,1
17.8000000,0.2993747,1
18.0000000,0.3030852,1
18.2000000,0.2867458,1
18.4000000,0.3440930,1
18.6000000,0.2998533,1
18.8000000,0.2979303,1
19.0000000,0.2740375,1
19.2000000,0.3157162,1
19.4000000,0.3033843,1
19.6000000,0.3393778,1
19.8000000,0.2977670,1
20.0000000,0.2903188,1
20.2000000,0.3321220,1
20.4000000,0.3046265,1
20.6000000,0.3436591,1
20.8000000,0.3124552,1
21.0000000,0.3165221,1
21.2000000,0.3172684,1
21.4000000,0.3489144,1
21.6000000,0.3800228,1
21.8000000,0.3783833,1
22.0000000,0.3780318,1
22.2000000,0.3823974,1
22.4000000,0.4037016,1
22.6000000,0.4001476,1
22.8000000,0.4124635,1
23.0000000,0.4178798,1
23.2000000,0.4387773,1
23.4000000,0.4674780,1
23.6000000,0.4434200,1
23.8000000,0.4611312,1
24.0000000,0.4858965,1
24.2000000,0.4564598,1
24.4000000,0.4682564,1
24.6000000,0.4621463,1
24.8000000,0.5223237,1
25.0000000,0.5078575,1
25.2000000,0.5047746,1
25.4000000,0.4923649,1
25.6000000,0.5007038,1
25.8000000,0.5284321,1
26.0000000,0.5239631,1
26.2000000,0.5278550,1
26.4000000,0.5700602,1
26.6000000,0.5886788,1
26.8000000,0.5380706,1
27.0000000,0.5723104,1
27.2000000,0.5883841,1
27.4000000,0.5775691,1
27.6000000,0.5643350,1
27.8000000,0.5836229,1
28.0000000,0.6034247,1
28.2000000,0.6209370,1
28.4000000,0.5778058,1
28.6000000,0.6633247,1
28.8000000,0.6551880,1
29.0000000,0.6236610,1
29.2000000,0.6690201,1
29.4000000,0.6461592,1
29.6000000,0.7056132,1
29.8000000,0.6836717,1
30.0000000,0.7099372,1
30.2000000,0.7089992,1
30.4000000,0.7370075,1
30.6000000,0.6937649,1
30.8000000,0.7031036,1
31.0000000,0.7329295,1
31.2000000,0.7200263,1
31.4000000,0.7669988,1
31.6000000,0.7566434,1
31.8000000,0.7615521,1
32.0000000,0.7490240,1
32.2000000,0.7783475,1
32.4000000,0.7736388,1
32.6000000,0.8115766,1
32.8000000,0.8172319,1
33.0000000,0.8242706,1
33.2000000,0.8138978,1
33.4000000,0.7957628,1
33.6000000,0.8497093,1
33.8000000,0.8665191,1
34.0000000,0.8716131,1
34.2000000,0.9013428,1
34.4000000,0.8837727,1
34.6000000,0.8593772,1
34.8000000,0.8705553,1
35.0000000,0.8893577,1
35.2000000,0.9189153,1
35.4000000,0.9282813,1
35.6000000,0.9119595,1
35.8000000,0.9204707,1
36.0000000,0.9626781,1
36.2000000,0.9303161,1
36.4000000,0.9830807,1
36.6000000,0.9871372,1
36.8000000,0.9721836,1
37.0000000,0.9422943,1
37.2000000,0.9810770,1
37.4000000,1.0174561,1
37.6000000,1.0132837,1
37.8000000,0.9904309,1
38.0000000,1.0489513,1
38.2000000,1.0287903,1
38.4000000,1.0611773,1
38.6000000,1.0210389,1
38.8000000,1.0463086,1
39.0000000,1.0338511,1
39.2000000,1.0600517,1
39.4000000,1.0889614,1
39.6000000,1.1147273,1
39.8000000,1.0891885,1
40.0000000,1.0980149,1
40.2000000,1.1111876,1
40.4000000,1.0955622,1
40.6000000,1.0943675,1
40.8000000,1.0911157,1
41.0000000,1.0845938,1
41.2000000,1.1085287,1
41.4000000,1.0818389,1
41.6000000,1.1306292,1
41.8000000,1.0895418,1
42.0000000,1.0994844,1
42.2000000,1.1260483,1
42.4000000,1.0899786,1
42.6000000,1.0985144,1
42.8100000,1.1173311,1
43.0100000,1.1034113,1
43.2100000,1.0839801,1
43.4100000,1.1121006,1
43.6100000,1.1039528,1
43.8100000,1.0780599,1
44.0100000,1.1175451,1
44.2100000,1.0896401,1
44.4100000,1.0953261,1
44.6100000,1.1464922,1
44.8100000,1.0604625,1
45.0100000,1.0890211,1
45.2100000,1.1070245,1
45.4100000,1.0823368,1
45.6100000,1.0976329,1
45.8100000,1.0960121,1
46.0100000,1.0654661,1
46.2100000,1.1000074,1
46.4100000,1.0911820,1
46.6100000,1.1071394,1
46.8100000,1.1138799,1
47.0100000,1.1190199,1
47.2100000,1.0854578,1
47.4100000,1.0910898,1
47.6100000,1.1118977,1
47.8100000,1.0944901,1
48.0100000,1.0711315,1
48.2100000,1.0803881,1
48.4100000,1.0938622,1
48.6100000,1.1091024,1
48.8100000,1.1272778,1
49.0100000,1.1045117,1
49.2100000,1.1013260,1
49.4100000,1.1314852,1
49.6100000,1.1361551,1
49.8100000,1.0727336,1
50.0100000,1.0905041,1
50.2100000,1.1004979,1
50.4100000,1.0848217,1
50.6100000,1.0991105,1
50.8100000,1.1315157,1
51.0100000,1.1063442,1
51.2100000,1.0370313,1
51.4100000,1.0924739,1
51.6100000,1.1024013,1
51.8100000,1.1108236,1
52.0100000,1.1008750,1
52.2100000,1.1077843,1
52.4100000,1.1011989,1
52.6100000,1.0715033,1
52.8100000,1.1005674,1
53.0100000,1.0852615,1
53.2100000,1.1056803,1
53.4100000,1.0987551,1
53.6100000,1.1091803,1
53.8100000,1.1134284,1
54.0100000,1.0912189,1
54.2100000,1.1380800,1
54.4100000,1.1341175,1
54.6100000,1.0931245,1
54.8100000,1.0996666,1
55.0100000,1.1047912,1
55.2100000,1.1280837,1
55.4100000,1.1037878,1
55.6100000,1.1195515,1
55.8100000,1.1084356,1
56.0100000,1.0851442,1
56.2100000,1.1125744,1
56.4100000,1.1319267,1
56.6100000,1.0657506,1
56.8100000,1.1270933,1
57.0100000,1.1052706,1
57.2100000,1.1099552,1
57.4100000,1.0811775,1
57.6100000,1.1269877,1
57.8100000,1.1096143,1
58.0100000,1.1007004,1
58.2100000,1.0967019,1
58.4100000,1.1138227,1
58.6100000,1.1067514,1
58.8100000,1.1026740,1
59.0100000,1.1077095,1
59.2100000,1.1056113,1
59.4100000,1.0548577,1
59.6100000,1.0964156,1
59.8100000,1.1173258,1
60.0100000,1.1126107,1
60.2100000,1.1120097,1
60.4100000,1.0715629,1
60.6100000,1.1258545,1
60.8100000,1.1188187,1
61.0100000,1.1076959,1
61.2100000,1.1132579,1
61.4100000,1.1122453,1
61.6100000,1.0906019,1
61.8100000,1.0866571,1
62.0100000,1.1252604,1
62.2100000,1.1214587,1
62.4100000,1.1177297,1
62.6100000,1.0936606,1
62.8100000,1.0898169,1
63.0100000,1.0858013,1
63.2100000,1.1068388,1
63.4100000,1.0767247,1
63.6100000,1.0927900,1
63.8100000,1.1178877,1
64.0100000,1.0973703,1
64.2100000,1.1015075,1
64.4100000,1.0911542,1
64.6100000,1.0799108,1
64.8100000,1.1020685,1
65.0100000,1.1359935,1
65.2100000,1.0996560,1
65.4100000,1.1270080,1
65.6100000,1.0569801,1
65.8100000,1.0964752,1
66.0100000,1.0948076,1
66.2100000,1.0805207,1
66.4100000,1.1266534,1
66.6100000,1.0943006,1
66.8100000,1.1053351,1
67.0100000,1.1056736,1
67.2100000,1.0992073,1
67.4100000,1.0636626,1
67.6100000,1.1013177,1
67.8100000,1.0981815,1
68.0100000,1.1058604,1
68.2100000,1.0972895,1
68.4100000,1.0396311,1
68.6100000,1.1468445,1
68.8100000,1.0869863,1
69.0100000,1.1238525,1
69.2100000,1.1080373,1
69.4100000,1.0762858,1
69.6100000,1.1295217,1
69.8100000,1.1078612,1
70.0100000,1.0750457,1
70.2100000,1.1201123,1
70.4100000,1.1105792,1
70.6100000,1.0970349,1
70.8100000,1.0829867,1
71.0100000,1.1001922,1
71.2100000,1.0947252,1
71.4100000,1.0888678,1
71.6100000,1.0541099,1
71.8100000,1.1178451,1
72.0100000,1.1134519,1
72.2100000,1.1314632,1
72.4100000,1.0848230,1
72.6100000,1.0713631,1
72.8100000,1.0739581,1
73.0100000,1.1182063,1
73.2000000,1.0972189,1
73.4000000,1.1031305,1
73.6000000,1.0888117,1
73.8000000,1.0524416,1
74.0000000,1.0774209,1
74.2000000,1.0966986,1
74.4000000,1.0985877,1
74.6000000,1.0820364,1
74.8000000,1.0609097,1
75.0000000,1.1150676,1
75.2000000,1.0822587,1
75.4000000,1.1087446,1
75.6000000,1.0701670,1
75.8000000,1.1124414,1
76.0000000,1.0897777,1
76.2000000,1.0878636,1
76.4000000,1.1300493,1
76.6000000,1.0577700,1
76.8000000,1.1094988,1
77.0000000,1.1098749,1
77.2000000,1.0934293,1
77.4000000,1.1184049,1
77.6000000,1.0808345,1
77.8000000,1.0798887,1
78.0000000,1.1286625,1
78.2000000,1.0874919,1
78.4000000,1.1163244,1
78.6000000,1.0879403,1
78.8000000,1.1020437,1
79.0000000,1.1089617,1
79.2000000,1.1025465,1
79.4000000,1.0965423,1
79.6000000,1.1084722,1
79.8000000,1.1096358,1
