timestamp,px_m,py_m,pz_m,vx_ms,vy_ms,vz_ms,roll_deg,pitch_deg,yaw_deg,speed_horiz_ms,speed_total_ms,distance_total_m,depth_m,std_pos_m,std_vel_ms,std_att_deg,upd_imu,upd_dvl,upd_depth,upd_gps,upd_mag
0.010000,1.545819,-1.133644,0.089325,-0.010066,-0.005705,0.019174,179.736687,-2.518355,17.769681,0.011570,0.022394,1.919032,0.089325,1.017505,0.019984,4.723646,1,1,1,1,1
0.020000,1.545714,-1.133619,0.089129,-0.010800,-0.005200,0.019427,179.735410,-2.513288,17.773378,0.011986,0.022827,1.919256,0.089129,1.017505,0.021541,4.723641,1,0,0,0,0
0.030000,1.545604,-1.133601,0.088930,-0.012129,-0.004935,0.019477,179.731189,-2.507811,17.772083,0.013095,0.023470,1.919485,0.088930,1.017505,0.025632,4.723634,1,0,0,0,0
0.040000,1.545482,-1.133589,0.088730,-0.013407,-0.004374,0.019861,179.732408,-2.502947,17.771852,0.014102,0.024359,1.919719,0.088730,1.017505,0.031299,4.723629,1,0,0,0,0
0.050000,1.545350,-1.133586,0.088525,-0.015240,-0.003557,0.020873,179.732466,-2.497845,17.769917,0.015650,0.026088,1.919963,0.088525,1.017505,0.037879,4.723624,1,0,0,0,0
0.060000,1.545203,-1.133597,0.088310,-0.016600,-0.003893,0.020557,179.733010,-2.493488,17.768304,0.017050,0.026708,1.920224,0.088310,1.017505,0.044858,4.723620,1,0,0,0,0
0.070000,1.545042,-1.133609,0.088097,-0.017581,-0.004267,0.019545,179.736568,-2.487981,17.767703,0.018091,0.026633,1.920491,0.088097,1.017506,0.052072,4.723614,1,0,0,0,0
0.080000,1.544870,-1.133620,0.087894,-0.019746,-0.004468,0.018927,179.736340,-2.482069,17.768472,0.020245,0.027715,1.920757,0.087894,1.017507,0.059499,4.723607,1,0,0,0,0
0.090000,1.544677,-1.133636,0.087696,-0.020945,-0.004228,0.019578,179.736867,-2.475658,17.768964,0.021367,0.028980,1.921034,0.087696,1.017508,0.067146,4.723599,1,0,0,0,0
0.100000,1.544473,-1.133658,0.087491,-0.022205,-0.004887,0.020748,179.734952,-2.470375,17.767990,0.022736,0.030780,1.921324,0.087491,1.017510,0.074920,4.723594,1,0,0,0,0
0.110000,1.547525,-1.133420,0.090208,0.050665,0.010588,-0.004401,-179.900437,1.714883,17.768676,0.051759,0.051946,1.925417,0.090208,1.017506,0.017975,1.451495,1,1,0,0,0
0.120000,1.548041,-1.133366,0.090236,0.056214,0.012298,-0.004258,-179.900092,1.720606,17.767391,0.057543,0.057701,1.925937,0.090236,1.017506,0.019423,1.451507,1,0,0,0,0
0.130000,1.548615,-1.133312,0.090262,0.062248,0.013814,-0.004352,-179.900598,1.724021,17.769907,0.063762,0.063911,1.926514,0.090262,1.017506,0.021003,1.451519,1,0,0,0,0
0.140000,1.549251,-1.133253,0.090286,0.067134,0.015204,-0.004721,-179.898230,1.727703,17.770348,0.068834,0.068996,1.927153,0.090286,1.017506,0.022684,1.451532,1,0,0,0,0
0.150000,1.549937,-1.133193,0.090313,0.072098,0.017540,-0.004862,-179.896244,1.734016,17.769344,0.074201,0.074360,1.927843,0.090313,1.017507,0.024454,1.451545,1,0,0,0,0
0.160000,1.550679,-1.133139,0.090340,0.078421,0.018540,-0.004706,-179.894547,1.737133,17.771223,0.080582,0.080720,1.928586,0.090340,1.017507,0.026297,1.451557,1,0,0,0,0
0.170000,1.551483,-1.133076,0.090363,0.084182,0.019170,-0.005481,-179.896018,1.741688,17.773568,0.086337,0.086511,1.929393,0.090363,1.017508,0.028176,1.451569,1,0,0,0,0
